validdate;pm10:ugm3;pm2p5:ugm3;pm1:ugm3;so2:ugm3;no2:ugm3;t_2m:C;co:ugm3;wind_speed_10m:ms;relative_humidity_2m:p;precip_1h:mm;sfc_pressure:Pa;global_rad:W
2018-01-01T00:00:00Z;273.588;196.637;164.329;72.278;69.328;5.5;1664.579;3.9;62.2;0.00;102036.5;32.7
2018-01-01T03:00:00Z;216.537;156.150;128.388;45.136;51.234;9.2;1227.184;4.3;52.3;0.00;102081.1;214.2
2018-01-01T06:00:00Z;184.680;133.848;109.112;38.235;40.903;10.4;1018.465;3.5;49.8;0.00;101789.5;106.8
2018-01-01T09:00:00Z;274.055;198.149;165.909;67.844;66.966;9.1;1332.590;1.9;60.3;0.00;101751.3;4.1
2018-01-01T12:00:00Z;322.552;232.575;196.561;94.694;65.293;8.2;1609.828;2.3;67.6;0.00;101875.5;0.0
2018-01-01T15:00:00Z;429.489;308.117;262.443;175.204;66.751;7.8;2282.103;1.3;74.7;0.00;101947.1;0.0
2018-01-01T18:00:00Z;558.744;398.430;340.963;263.550;76.001;7.5;3278.391;0.9;79.2;0.00;101945.5;0.0
2018-01-01T21:00:00Z;581.575;413.841;354.262;195.067;77.912;7.6;3660.558;1.6;77.7;0.00;101843.5;0.0
2018-01-02T00:00:00Z;603.276;429.259;367.743;118.410;74.995;7.2;3880.042;1.9;76.8;0.00;101978.7;15.6
2018-01-02T03:00:00Z;409.447;292.585;248.645;68.850;72.256;8.8;2274.401;2.5;73.2;0.00;102067.5;64.8
2018-01-02T06:00:00Z;367.195;263.885;222.710;59.552;67.756;9.4;1842.539;2.0;66.9;0.03;101878.6;48.9
2018-01-02T09:00:00Z;354.902;257.375;213.810;59.352;63.512;7.5;1555.181;5.1;78.4;0.06;101905.3;3.7
2018-01-02T12:00:00Z;386.469;284.006;228.392;61.345;61.711;6.3;1408.609;6.3;78.8;0.08;102133.1;0.0
2018-01-02T15:00:00Z;314.768;235.150;181.857;60.895;55.855;5.5;1148.661;6.4;86.7;0.16;102297.5;0.0
2018-01-02T18:00:00Z;198.888;148.570;115.368;59.371;55.841;5.8;983.058;6.0;86.3;0.16;102326.2;0.0
2018-01-02T21:00:00Z;184.010;137.094;106.804;53.056;55.462;5.3;947.194;5.3;90.8;0.40;102333.3;0.0
2018-01-03T00:00:00Z;169.010;125.719;98.319;43.892;46.724;5.6;826.860;5.3;92.6;0.20;102405.8;4.0
2018-01-03T03:00:00Z;122.141;89.816;72.454;33.711;33.424;5.9;610.219;5.5;91.8;0.64;102507.9;30.1
