validdate,pm10:ugm3,pm2p5:ugm3,pm1:ugm3,so2:ugm3,no2:ugm3,t_2m:C,co:ugm3,wind_speed_10m:ms,relative_humidity_2m:p,precip_1h:mm,sfc_pressure:Pa,global_rad:W,WeekDay
2018-01-01T00:00:00Z,283.783,211.181,163.836,66.289,57.537,4.5,1609.397,2.2,82.4,0,102877.4,134.6,Monday
2018-01-01T03:00:00Z,212.158,159.132,103.788,21.709,10.094,9.4,517.052,2.3,47.3,0,102887.7,546,Monday
2018-01-01T06:00:00Z,143.17,112.501,62.357,13.29,5.727,9.7,299.315,3.3,41.1,0,102659,441.2,Monday
2018-01-01T09:00:00Z,168.195,136.288,79.64,33.544,30.23,5.4,378.875,2,71.5,0,102637.8,0,Monday
2018-01-01T12:00:00Z,193.195,153.066,101.229,55.23,49.599,2.9,534.088,3.1,88.3,0,102714.9,0,Monday
2018-01-01T15:00:00Z,173.359,133.677,95.638,72.716,57.185,5,603.454,2.6,86.3,0,102754.6,0,Monday
2018-01-01T18:00:00Z,105.199,80.851,56.615,46.825,40.989,6.5,425.82,2.7,81.4,0,102737,0,Monday
2018-01-01T21:00:00Z,98.889,75.55,53.835,41.086,36.951,7.9,409.544,2.7,77.9,0,102602.6,0,Monday
2018-01-02T00:00:00Z,112.814,85.137,63.624,37.359,33.254,9,432.809,3.2,77.2,0,102658.1,68.4,Tuesday
2018-01-02T03:00:00Z,54.254,42.313,26.391,10.161,6.046,13.6,214.579,4,59.3,0,102601.8,302.5,Tuesday
2018-01-02T06:00:00Z,77.206,58.524,42.904,20.793,16.77,14.3,274.708,2.8,58.2,0,102396.3,148.7,Tuesday
2018-01-02T09:00:00Z,84.295,62.852,48.926,24.931,22.8,10.9,301.811,4,77.1,0,102408.3,0,Tuesday
2018-01-02T12:00:00Z,68.823,51.594,38.027,21.812,17.797,10.6,255.746,4.2,82,0,102492.9,0,Tuesday
2018-01-02T15:00:00Z,79.63,59.587,44.007,30.944,26.09,10,297.067,4,89.4,0.35,102594.1,0,Tuesday
2018-01-02T18:00:00Z,74.243,56.018,39.193,25.969,22.612,9.4,276.258,5.5,90.3,0.69,102670.8,0,Tuesday
2018-01-02T21:00:00Z,67.226,51.929,31.13,15.901,12.232,8.8,231.426,6.8,89.5,0.53,102726.2,0,Tuesday
2018-01-03T00:00:00Z,73.688,56.846,33.543,14.156,11.124,8.1,267.562,6.7,84,0.29,102846.7,8.8,Wednesday
2018-01-03T03:00:00Z,48.637,34.578,24.666,14.155,11.136,8.4,320.802,7.1,85.3,0.23,102980.9,40.8,Wednesday
2018-01-03T06:00:00Z,57.549,40.494,28.995,15.645,11.941,7.6,297.33,7.1,79,0.12,102838.1,37.8,Wednesday
2018-01-03T09:00:00Z,65.004,45.306,32.923,16.627,13.235,6.1,248.209,6.2,85.7,0.45,102928.6,0,Wednesday
2018-01-03T12:00:00Z,54.396,36.877,27.136,16.337,12.467,5.4,217.23,6.5,85.4,0.39,103058.8,0,Wednesday
2018-01-03T15:00:00Z,46.951,31.814,23.722,15.962,12.349,5,216.203,5.6,85.8,0.78,103025,0,Wednesday
2018-01-03T18:00:00Z,40.068,27.073,20.264,15.372,12.09,4.3,219.838,6,89.2,1.49,102980.8,0,Wednesday
2018-01-03T21:00:00Z,37.099,25.207,19.204,14.338,11.944,4.4,223.655,5.6,89.8,1.84,102811.3,0,Wednesday
2018-01-04T00:00:00Z,34.663,23.77,18.503,13.741,11.863,4.7,224.602,5.5,89.4,1.74,102819.5,9.2,Thursday
2018-01-04T03:00:00Z,33.308,23.278,18.852,13.443,11.24,5.7,223.491,4.7,87.5,1.23,102657.8,35.6,Thursday
2018-01-04T06:00:00Z,41.461,29.268,24.197,15.425,13.192,5.8,232.335,4.9,88.7,1.21,102316.2,28.9,Thursday
2018-01-04T09:00:00Z,41.489,29.337,24.34,17.263,14.889,5.9,237.577,5,88.3,1.02,102269.1,-0.3,Thursday
2018-01-04T12:00:00Z,43.837,30.862,25.493,20.623,16.972,6,250.237,4.8,88.2,1.2,102315,0,Thursday
2018-01-04T15:00:00Z,44.517,31.26,25.939,23.946,18.871,4.9,259.821,5.8,89.5,1.19,102281.2,0,Thursday
2018-01-04T18:00:00Z,41.761,29.414,24.805,25.172,20.398,4.3,263.54,5.4,91.1,0.81,102314,0,Thursday
2018-01-04T21:00:00Z,53.522,37.876,32.327,33.322,28.586,4.3,305.911,4.7,87.1,0.13,102327.4,0,Thursday
2018-01-05T00:00:00Z,78.22,55.55,47.537,36.625,33.719,4.5,348.307,5.3,83.4,0.03,102487.8,40,Friday
2018-01-05T03:00:00Z,46.874,33.147,27.847,16.28,10.303,6.1,232.52,5.2,66.9,0,102590.6,289.4,Friday
2018-01-05T06:00:00Z,52.401,37.385,31.995,17.618,10.946,7,254.614,5.5,58.5,0,102397.7,246.4,Friday
2018-01-05T09:00:00Z,103.094,74.108,64.257,37.358,34.592,5.2,399.651,3.5,60.2,0,102430.2,0.4,Friday
2018-01-05T12:00:00Z,216.631,155.985,135.632,81.082,65.664,3.9,742.136,3.2,66.2,0,102584.5,0,Friday
2018-01-05T15:00:00Z,276.784,198.816,172.668,126.873,74.103,1.6,1011.263,2.1,78.4,0,102582.4,0,Friday
2018-01-05T18:00:00Z,290.227,207.623,179.874,137.102,71.813,2.1,1113.977,2.7,79.7,0,102596.2,0,Friday
2018-01-05T21:00:00Z,244.441,174.299,150.628,90.799,61.73,3,957.144,3.6,74,0,102596.3,0,Friday
2018-01-06T00:00:00Z,251.737,179.492,155.098,73.506,51.922,3.3,945.317,2.1,75.3,0,102640.2,73.1,Saturday
2018-01-06T03:00:00Z,67.198,47.666,40.583,17.911,16.518,6.8,327.696,3.2,62.7,0,102564.7,290,Saturday
2018-01-06T06:00:00Z,42.14,29.75,24.883,11.529,7.878,7.8,249.932,3.2,59.2,0,102267.1,195.9,Saturday
2018-01-06T09:00:00Z,75.096,53.69,45.918,28.646,25.151,7,345.917,1.5,66.7,0,102270.1,0.5,Saturday
2018-01-06T12:00:00Z,93.807,67.035,57.475,37.697,36.429,7.3,413.243,2.2,75.7,0.05,102230.6,0,Saturday
2018-01-06T15:00:00Z,67.163,47.518,40.16,35.218,28.771,7.4,358.539,3.2,90.2,0.77,102143.8,0,Saturday
2018-01-06T18:00:00Z,63.277,44.58,37.568,35.117,30.362,7.9,365.165,3.3,92,0.94,102057.2,0,Saturday
2018-01-06T21:00:00Z,50.01,35.11,29.286,24.787,21.802,8.8,313.878,3.8,90.4,0.05,101822.2,0,Saturday
2018-01-07T00:00:00Z,43.971,30.939,25.717,20.195,17.303,9.5,286.227,2.5,92.8,0.39,101790.7,11.5,Sunday
2018-01-07T03:00:00Z,140.374,100.685,87.111,44.414,43.92,11.1,512.574,2.5,89.9,0.12,101708.1,58.7,Sunday
2018-01-07T06:00:00Z,243.951,174.41,150.912,65.025,61.7,10.5,858.156,2.8,96,0.45,101417.9,33.3,Sunday
2018-01-07T09:00:00Z,267.675,191.164,165.451,74.484,63.97,5.8,1167.701,5.2,92.9,0.67,101577.1,0.1,Sunday
2018-01-07T12:00:00Z,189.792,136.129,118.115,75.967,66.865,4.4,1230.81,5.4,90.7,0.01,101726.4,0,Sunday
2018-01-07T15:00:00Z,138.514,99.22,86.043,71.654,59.364,3.6,955.806,5,90.2,0,101748.8,0,Sunday
2018-01-07T18:00:00Z,120.509,86.256,74.779,72.349,59.874,3,918.957,6.6,86.8,0.03,101877.4,0,Sunday
2018-01-07T21:00:00Z,125.886,89.995,77.967,69.764,59.19,2,966.909,5.9,88.2,0.09,101812.7,0,Sunday
2018-01-08T00:00:00Z,142.996,102.276,88.664,69.412,57.533,1.7,1120.604,6.7,86.1,0.02,101840.1,28.5,Monday
2018-01-08T03:00:00Z,129.735,92.72,80.299,48.673,48.26,3.1,897.912,6.9,75.6,0,102025.5,135.8,Monday
2018-01-08T06:00:00Z,155.456,110.904,95.696,38.405,32.97,4,767.056,7.4,60.7,0.03,101859.5,166,Monday
2018-01-08T09:00:00Z,193.973,138.482,119.533,48.169,43.625,4.2,916.237,6.1,58,0,101993.3,1.4,Monday
2018-01-08T12:00:00Z,260.045,185.717,160.479,70.463,85.829,1.4,1315.733,5.9,70.7,0,102254.2,0,Monday
2018-01-08T15:00:00Z,263.03,188.116,160.61,71.719,86.325,-1.2,1135.572,6.1,67.6,0,102467,0,Monday
2018-01-08T18:00:00Z,200.293,144.045,121.385,79.171,67.668,-2.5,807.11,5.7,66.4,0,102510.3,0,Monday
2018-01-08T21:00:00Z,166.664,119.983,101.305,78.796,55.674,-3.2,676.13,4.5,67.9,0,102536.9,0,Monday
2018-01-09T00:00:00Z,181.084,130.088,110.861,72.881,42.669,-2.5,704.389,4.7,71,0,102663.6,137.6,Tuesday
2018-01-09T03:00:00Z,81.39,58.237,50.168,46.524,27.712,3.3,510.372,5.9,43.7,0,102544.3,576.3,Tuesday
2018-01-09T06:00:00Z,44.052,31.546,27.33,24.607,16.433,5,311.254,6.8,32.7,0,102361.9,479.7,Tuesday
2018-01-09T09:00:00Z,79.758,57.376,49.848,41.787,42.422,2.8,435.494,4.2,46.2,0,102367,3.7,Tuesday
2018-01-09T12:00:00Z,115.799,83.417,72.087,61.893,60.894,0.4,546.25,3.1,50.3,0,102399.9,0,Tuesday
2018-01-09T15:00:00Z,112.28,80.571,69.472,67.907,60.642,1.2,570.241,5.5,58.8,0,102498.7,0,Tuesday
2018-01-09T18:00:00Z,147.441,105.455,90.511,81.321,62.757,0,717.282,5.4,59.8,0,102590.5,0,Tuesday
2018-01-09T21:00:00Z,199.827,142.929,122.427,93.573,59.761,-1.5,910.652,4.2,70.1,0,102641.6,0,Tuesday
2018-01-10T00:00:00Z,253.093,181.193,155.264,91.553,51.951,-1.3,1080.506,4.4,73.3,0,102868.7,135.1,Wednesday
2018-01-10T03:00:00Z,168.925,120.865,103.554,53.86,36.633,3.7,743.816,5.4,43.3,0,102909.4,572.8,Wednesday
