Catégorie : Toutes les catégories

Mois,Big data: (Dans tous les pays)
2004-01,4
2004-02,7
2004-03,6
2004-04,4
2004-05,5
2004-06,5
2004-07,4
2004-08,6
2004-09,3
2004-10,8
2004-11,7
2004-12,5
2005-01,7
2005-02,6
2005-03,5
2005-04,5
2005-05,5
2005-06,5
2005-07,5
2005-08,6
2005-09,4
2005-10,6
2005-11,6
2005-12,3
2006-01,4
2006-02,5
2006-03,4
2006-04,5
2006-05,4
2006-06,5
2006-07,5
2006-08,4
2006-09,5
2006-10,3
2006-11,5
2006-12,3
2007-01,4
2007-02,5
2007-03,3
2007-04,3
2007-05,3
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,6
2007-11,4
2007-12,4
2008-01,5
2008-02,4
2008-03,3
2008-04,4
2008-05,4
2008-06,4
2008-07,5
2008-08,3
2008-09,6
2008-10,6
2008-11,5
2008-12,4
2009-01,5
2009-02,4
2009-03,5
2009-04,4
2009-05,4
2009-06,4
2009-07,5
2009-08,5
2009-09,5
2009-10,5
2009-11,5
2009-12,4
2010-01,6
2010-02,4
2010-03,6
2010-04,6
2010-05,5
2010-06,5
2010-07,6
2010-08,5
2010-09,6
2010-10,5
2010-11,6
2010-12,6
2011-01,7
2011-02,7
2011-03,7
2011-04,6
2011-05,8
2011-06,9
2011-07,8
2011-08,8
2011-09,10
2011-10,12
2011-11,13
2011-12,11
2012-01,16
2012-02,21
2012-03,21
2012-04,23
2012-05,25
2012-06,25
2012-07,25
2012-08,27
2012-09,32
2012-10,38
2012-11,37
2012-12,35
2013-01,41
2013-02,44
2013-03,52
2013-04,55
2013-05,54
2013-06,56
2013-07,51
2013-08,52
2013-09,57
2013-10,61
2013-11,63
2013-12,54
2014-01,64
2014-02,70
2014-03,73
2014-04,75
2014-05,70
2014-06,71
2014-07,77
2014-08,74
2014-09,85
2014-10,87
2014-11,82
2014-12,71
2015-01,78
2015-02,86
2015-03,88
2015-04,84
2015-05,81
2015-06,82
2015-07,76
2015-08,75
2015-09,87
2015-10,86
2015-11,85
2015-12,74
2016-01,74
2016-02,91
2016-03,89
2016-04,85
2016-05,86
2016-06,84
2016-07,77
2016-08,75
2016-09,90
2016-10,87
2016-11,92
2016-12,79
2017-01,88
2017-02,93
2017-03,100
2017-04,91
2017-05,92
2017-06,83
2017-07,80
2017-08,79
2017-09,91
2017-10,96
2017-11,95
2017-12,79
2018-01,86
2018-02,91
2018-03,93
