"timestamp","message","iss_position.longitude","iss_position.latitude"
1619640228,"success","-75.254","-36.5104"
1619640238,"success","-74.6719","-36.9194"
1619640249,"success","-74.0534","-37.3452"
1619640259,"success","-73.4274","-37.7674"
1619640270,"success","-72.7937","-38.1857"
1619640280,"success","-72.1522","-38.6"
1619640290,"success","-71.5339","-38.9909"
1619640301,"success","-70.8768","-39.3972"
1619640311,"success","-70.2115","-39.7993"
1619640322,"success","-69.5381","-40.1969"
1619640332,"success","-68.8562","-40.5901"
1619640342,"success","-68.1988","-40.9602"
1619640353,"success","-67.5002","-41.3443"
1619640363,"success","-66.7928","-41.7235"
1619640374,"success","-66.0765","-42.0977"
1619640385,"success","-65.3512","-42.4669"
1619640395,"success","-64.6168","-42.8309"
1619640405,"success","-63.909","-43.1725"
1619640416,"success","-63.1568","-43.5259"
1619640426,"success","-62.3953","-43.8736"
1619640437,"success","-61.6244","-44.2157"
1619640447,"success","-60.844","-44.5519"
1619640458,"success","-60.0541","-44.882"
1619640468,"success","-59.2548","-45.206"
1619640478,"success","-58.4847","-45.5087"
1619640489,"success","-57.6662","-45.8204"
1619640499,"success","-56.8383","-46.1255"
1619640509,"success","-56.0411","-46.4098"
1619640520,"success","-55.1948","-46.7016"
1619640530,"success","-54.3388","-46.9864"
1619640541,"success","-53.4734","-47.264"
1619640551,"success","-52.6403","-47.5217"
1619640561,"success","-51.7564","-47.7851"
1619640572,"success","-50.8632","-48.0408"
1619640582,"success","-49.9608","-48.2888"
1619640592,"success","-49.093","-48.5177"
1619640603,"success","-48.1726","-48.7504"
1619640613,"success","-47.2436","-48.9749"
1619640624,"success","-46.3058","-49.1911"
1619640634,"success","-45.405","-49.3892"
1619640645,"success","-44.4514","-49.5889"
1619640655,"success","-43.4896","-49.7799"
1619640666,"success","-42.5201","-49.9621"
1619640676,"success","-41.5429","-50.1354"
1619640686,"success","-40.6057","-50.2921"
1619640697,"success","-39.6147","-50.4477"
1619640707,"success","-38.6171","-50.594"
1619640718,"success","-37.6133","-50.731"
1619640728,"success","-36.6516","-50.8527"
1619640738,"success","-35.6366","-50.9711"
1619640749,"success","-34.6164","-51.0799"
